NM_RxnSmiles,coarse_solvent,base,temperature,Yield,parsed_rxn,parsed_reagents,rxn_id,fine_solvent,dataset,exact_solvent,exact_base
Cc1cc(B(O)O)cc(C)n1.Cc1cc(Br)ccc1CN1CCN(C(=O)OC(C)(C)C)CC1>>Cc1cc(-c2ccc(CN3CCN(C(=O)OC(C)(C)C)CC3)c(C)c2)cc(C)n1,water/ethers,carbonate,20,88.75,[CH3:29][C:28]([CH3:30])([CH3:31])[O:27][C:25]([N:24]1[CH2:32][CH2:33][N:21]([CH2:22][CH2:23]1)[CH2:20][c:19]1[c:13]([cH:14][c:15]([cH:17][cH:18]1)[Br:16])[CH3:12])=[O:26].[OH:6][B:5]([OH:7])[c:4]1[cH:8][c:9]([CH3:10])[n:11][c:2]([cH:3]1)[CH3:1]>>[CH3:29][C:28]([CH3:30])([CH3:31])[O:27][C:25]([N:24]1[CH2:32][CH2:33][N:21]([CH2:22][CH2:23]1)[CH2:20][c:19]1[cH:18][cH:17][c:15]([cH:14][c:13]1[CH3:12])-[c:4]1[cH:8][c:9]([CH3:10])[n:11][c:2]([cH:3]1)[CH3:1])=[O:26],"",3033,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[K+].[K+]
OB(O)c1ccc(F)cc1.Brc1cccs1>>Fc1ccc(-c2cccs2)cc1,water/ethers,carbonate,20,96.1,[Br:11][c:12]1[s:16][cH:15][cH:14][cH:13]1.[OH:1][B:2]([OH:3])[c:4]1[cH:10][cH:9][c:7]([cH:6][cH:5]1)[F:8]>>[cH:5]1[cH:6][c:7]([cH:9][cH:10][c:4]1-[c:12]1[cH:13][cH:14][cH:15][s:16]1)[F:8],"",129,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cncnc1.CC1(C)CC(=O)c2cc(Br)ccc2C1>>CC1(C)CC(=O)c2cc(-c3cncnc3)ccc2C1,water/ethers,carbonate,20,67.95,[CH3:10][C:11]1([CH3:12])[CH2:13][C:14](=[O:15])[c:16]2[cH:17][c:18]([cH:20][cH:21][c:22]2[CH2:23]1)[Br:19].[OH:1][B:2]([OH:3])[c:4]1[cH:9][n:8][cH:7][n:6][cH:5]1>>[CH3:10][C:11]1([CH3:12])[CH2:13][C:14](=[O:15])[c:16]2[c:22]([cH:21][cH:20][c:18](-[c:4]3[cH:9][n:8][cH:7][n:6][cH:5]3)[cH:17]2)[CH2:23]1,"",4229,water/ethers,train,O.C1COCCO1,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccc(F)cc1F.COC(=O)c1ccc(-c2ncc(Br)o2)cc1>>COC(=O)c1ccc(-c2ncc(-c3ccc(F)cc3F)o2)cc1,ethers,fluoride,20,46.75,[OH:1][B:2]([OH:3])[c:4]1[c:10]([F:11])[cH:9][c:7]([F:8])[cH:6][cH:5]1.[cH:18]1[cH:17][c:16]([cH:27][cH:26][c:19]1-[c:20]1[n:21][cH:22][c:23]([Br:24])[o:25]1)[C:14](=[O:15])[O:13][CH3:12]>>[cH:18]1[cH:17][c:16]([cH:27][cH:26][c:19]1-[c:20]1[n:21][cH:22][c:23](-[c:4]2[c:10]([F:11])[cH:9][c:7]([cH:6][cH:5]2)[F:8])[o:25]1)[C:14](=[O:15])[O:13][CH3:12],"",3930,ethers,train,COCCOC,[Cs+].[F-]
COc1cc(COC2CCC2)cc(OC)c1B(O)O.COc1nn2c(Br)csc2c1NC(=O)OC(C)(C)C>>COc1cc(COC2CCC2)cc(OC)c1-c1csc2c(NC(=O)OC(C)(C)C)c(OC)nn12,other,carbonate,20,89.4,[CH3:36][C:35]([CH3:37])([CH3:38])[O:34][C:32](=[O:33])[NH:31][c:30]1[c:29]2[n:24]([n:23][c:22]1[O:21][CH3:20])[c:25]([cH:27][s:28]2)[Br:26].[cH:4]1[c:3]([O:2][CH3:1])[c:16]([c:13]([cH:12][c:5]1[CH2:6][O:7][CH:8]1[CH2:9][CH2:10][CH2:11]1)[O:14][CH3:15])[B:17]([OH:18])[OH:19]>>[CH3:36][C:35]([CH3:37])([CH3:38])[O:34][C:32]([NH:31][c:30]1[c:29]2[s:28][cH:27][c:25](-[c:16]3[c:3]([cH:4][c:5]([cH:12][c:13]3[O:14][CH3:15])[CH2:6][O:7][CH:8]3[CH2:9][CH2:10][CH2:11]3)[O:2][CH3:1])[n:24]2[n:23][c:22]1[O:21][CH3:20])=[O:33],"",2019,other,train,O.CCOC(C)=O.COCCOC,O=C([O-])[O-].[K+].[K+]
OB(O)c1cccc(O)c1.CC(=O)Nc1cccc(-c2nc(Br)cc(N3CCOCC3)n2)c1>>CC(=O)Nc1cccc(-c2nc(-c3cccc(O)c3)cc(N3CCOCC3)n2)c1,ethers,carbonate,20,99.2,[CH2:27]1[CH2:28][O:29][CH2:30][CH2:31][N:26]1[c:25]1[cH:24][c:22]([Br:23])[n:21][c:20](-[c:19]2[cH:33][c:15]([cH:16][cH:17][cH:18]2)[NH:14][C:12](=[O:13])[CH3:11])[n:32]1.[OH:1][B:2]([OH:3])[c:4]1[cH:10][c:8]([cH:7][cH:6][cH:5]1)[OH:9]>>[CH2:27]1[CH2:28][O:29][CH2:30][CH2:31][N:26]1[c:25]1[cH:24][c:22](-[c:4]2[cH:10][c:8]([cH:7][cH:6][cH:5]2)[OH:9])[n:21][c:20](-[c:19]2[cH:33][c:15]([NH:14][C:12](=[O:13])[CH3:11])[cH:16][cH:17][cH:18]2)[n:32]1,"",3731,ethers,train,COCCOC,O=C([O-])O.[Na+]
CC(C)(C)C(=O)Nc1ccccc1B(O)O.CCCCn1nc(C#N)c(Br)c1CC>>CCCCn1nc(C#N)c(-c2ccccc2NC(=O)C(C)(C)C)c1CC,other,carbonate,20,12.8,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[NH:7][c:8]1[c:13]([cH:12][cH:11][cH:10][cH:9]1)[B:14]([OH:16])[OH:15].[n:21]1([n:22][c:23]([c:26]([Br:27])[c:28]1[CH2:29][CH3:30])[C:24]#[N:25])[CH2:20][CH2:19][CH2:18][CH3:17]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]([NH:7][c:8]1[c:13]([cH:12][cH:11][cH:10][cH:9]1)-[c:26]1[c:23]([n:22][n:21]([c:28]1[CH2:29][CH3:30])[CH2:20][CH2:19][CH2:18][CH3:17])[C:24]#[N:25])=[O:6],"",725,other,train,CCCO.COC(C)(C)C.O,O=C([O-])[O-].[Na+].[Na+]
COc1ccc(B(O)O)cn1.CC(=O)Nc1cc(Br)cc([N+](=O)[O-])c1>>COc1ccc(-c2cc(NC(C)=O)cc([N+](=O)[O-])c2)cn1,ethers,carbonate,20,81.0,[NH:15]([C:13](=[O:14])[CH3:12])[c:16]1[cH:25][c:21]([N+:22]([O-:24])=[O:23])[cH:20][c:18]([Br:19])[cH:17]1.[OH:8][B:7]([OH:9])[c:6]1[cH:5][cH:4][c:3]([n:11][cH:10]1)[O:2][CH3:1]>>[cH:17]1[c:18]([cH:20][c:21]([N+:22]([O-:24])=[O:23])[cH:25][c:16]1[NH:15][C:13](=[O:14])[CH3:12])-[c:6]1[cH:10][n:11][c:3]([O:2][CH3:1])[cH:4][cH:5]1,"",3489,ethers,train,COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cccs1.COC(=O)c1ccc(C(=O)N[C@H](C)c2ccc(Br)cc2)s1>>COC(=O)c1ccc(C(=O)N[C@H](C)c2ccc(-c3cccs3)cc2)s1,other,carbonate,20,49.9,[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][s:8]1.[cH:24]1[cH:23][c:22]([cH:28][cH:27][c:25]1[Br:26])[C@H:20]([NH:19][C:17]([c:16]1[cH:15][cH:14][c:13]([C:11](=[O:12])[O:10][CH3:9])[s:29]1)=[O:18])[CH3:21]>>[cH:24]1[cH:23][c:22]([cH:28][cH:27][c:25]1-[c:4]1[s:8][cH:7][cH:6][cH:5]1)[C@H:20]([NH:19][C:17]([c:16]1[cH:15][cH:14][c:13]([C:11](=[O:12])[O:10][CH3:9])[s:29]1)=[O:18])[CH3:21],"",584,other,train,CCO.COCCOC,O=C([O-])[O-].[Cs+].[Cs+]
OB(O)c1cccc(F)c1.COc1cccc(N(C)C(=O)c2ccc(Br)s2)c1>>COc1cccc(N(C)C(=O)c2ccc(-c3cccc(F)c3)s2)c1,other,other,20,78.05,[OH:1][B:2]([OH:3])[c:4]1[cH:10][c:8]([F:9])[cH:7][cH:6][cH:5]1.[c:25]1([Br:26])[cH:24][cH:23][c:22]([C:20]([N:18]([CH3:19])[c:17]2[cH:28][c:13]([O:12][CH3:11])[cH:14][cH:15][cH:16]2)=[O:21])[s:27]1>>[cH:15]1[cH:16][c:17]([cH:28][c:13]([O:12][CH3:11])[cH:14]1)[N:18]([CH3:19])[C:20](=[O:21])[c:22]1[cH:23][cH:24][c:25](-[c:4]2[cH:5][cH:6][cH:7][c:8]([cH:10]2)[F:9])[s:27]1,"",4528,other,train,No Solvent,No Base
OB(O)c1ccccc1.CCC(CC)c1cc(C)nn2c(-c3sc(N4CCOCC4)nc3Br)c(C)nc12>>CCC(CC)c1cc(C)nn2c(-c3sc(N4CCOCC4)nc3-c3ccccc3)c(C)nc12,other,other,20,53.6,[CH3:10][CH2:11][CH:12]([CH2:13][CH3:14])[c:15]1[c:37]2[n:20]([c:21]([c:34]([CH3:35])[n:36]2)-[c:22]2[s:23][c:24]([n:31][c:32]2[Br:33])[N:25]2[CH2:26][CH2:27][O:28][CH2:29][CH2:30]2)[n:19][c:17]([CH3:18])[cH:16]1.[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[CH2:26]1[CH2:27][O:28][CH2:29][CH2:30][N:25]1[c:24]1[n:31][c:32](-[c:4]2[cH:9][cH:8][cH:7][cH:6][cH:5]2)[c:22](-[c:21]2[n:20]3[c:37]([c:15]([CH:12]([CH2:11][CH3:10])[CH2:13][CH3:14])[cH:16][c:17]([CH3:18])[n:19]3)[n:36][c:34]2[CH3:35])[s:23]1,"",843,other,train,CCO.O.COCCOC.ClCCl,No Base
OB(O)c1ccncc1.Cc1cc(C)c(O)c(Br)c1>>Cc1cc(C)c(O)c(-c2ccncc2)c1,water/ethers,carbonate,20,30.05,[c:17]1([cH:19][c:11]([cH:12][c:13]([c:15]1[OH:16])[CH3:14])[CH3:10])[Br:18].[cH:6]1[cH:5][c:4]([cH:9][cH:8][n:7]1)[B:2]([OH:1])[OH:3]>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][n:7]1)-[c:17]1[c:15]([c:13]([CH3:14])[cH:12][c:11]([cH:19]1)[CH3:10])[OH:16],"",3481,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1.Fc1cc(Br)c2oc(CCC#Cc3ccccn3)nc2c1>>Fc1cc(-c2ccccc2)c2oc(CCC#Cc3ccccn3)nc2c1,other,carbonate,20,86.6,[c:29]12[c:15]([o:16][c:17]([CH2:18][CH2:19][C:20]#[C:21][c:22]3[n:27][cH:26][cH:25][cH:24][cH:23]3)[n:28]1)[c:13]([cH:12][c:11]([F:10])[cH:30]2)[Br:14].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][cH:7]1)-[c:13]1[cH:12][c:11]([F:10])[cH:30][c:29]2[n:28][c:17]([o:16][c:15]12)[CH2:18][CH2:19][C:20]#[C:21][c:22]1[cH:23][cH:24][cH:25][cH:26][n:27]1,"",2369,other,train,O.CCOC(C)=O.C1COCCO1,O=C([O-])O.[Na+]
OB(O)c1cccnc1F.O=C(c1ccccc1)n1c(=O)c(I)cn(CCCCCl)c1=O>>O=C(c1ccccc1)n1c(=O)c(-c2cccnc2F)cn(CCCCCl)c1=O,water/ethers,carbonate,20,54.15,[OH:1][B:2]([OH:3])[c:4]1[c:9]([n:8][cH:7][cH:6][cH:5]1)[F:10].[cH:14]1[cH:15][cH:16][cH:17][cH:18][c:13]1[C:12](=[O:11])[n:19]1[c:31](=[O:32])[n:25]([cH:24][c:22]([I:23])[c:20]1=[O:21])[CH2:26][CH2:27][CH2:28][CH2:29][Cl:30]>>[cH:15]1[cH:14][c:13]([cH:18][cH:17][cH:16]1)[C:12](=[O:11])[n:19]1[c:20](=[O:21])[c:22](-[c:4]2[cH:5][cH:6][cH:7][n:8][c:9]2[F:10])[cH:24][n:25]([CH2:26][CH2:27][CH2:28][CH2:29][Cl:30])[c:31]1=[O:32],"",1066,water/ethers,train,O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
CON=C1CCc2cc(B(O)O)ccc21.Brc1ccoc1-c1ccncc1>>CON=C1CCc2cc(-c3ccoc3-c3ccncc3)ccc21,water/ethers,carbonate,20,60.9,[OH:11][B:10]([OH:12])[c:9]1[cH:13][cH:14][c:15]2[c:7]([CH2:6][CH2:5][C:4]2=[N:3][O:2][CH3:1])[cH:8]1.[cH:24]1[cH:23][c:22]([cH:27][cH:26][n:25]1)-[c:21]1[o:20][cH:19][cH:18][c:17]1[Br:16]>>[cH:24]1[cH:23][c:22]([cH:27][cH:26][n:25]1)-[c:21]1[o:20][cH:19][cH:18][c:17]1-[c:9]1[cH:13][cH:14][c:15]2[c:7]([cH:8]1)[CH2:6][CH2:5][C:4]2=[N:3][O:2][CH3:1],"",526,water/ethers,train,O.COCCOC,O=C([O-])[O-].[K+].[K+]
N#Cc1ccc(B(O)O)cc1.O=C(c1ccc(-c2cn3c(I)cnc3cn2)cc1)N1CCOCC1>>N#Cc1ccc(-c2cnc3cnc(-c4ccc(C(=O)N5CCOCC5)cc4)cn23)cc1,alcoArom,carbonate,20,47.0,[cH:15]1[cH:16][c:17]([cH:28][cH:29][c:14]1[C:13](=[O:12])[N:30]1[CH2:35][CH2:34][O:33][CH2:32][CH2:31]1)-[c:18]1[cH:19][n:20]2[c:21]([cH:23][n:24][c:25]2[cH:26][n:27]1)[I:22].[cH:5]1[cH:4][c:3]([cH:11][cH:10][c:6]1[B:7]([OH:8])[OH:9])[C:2]#[N:1]>>[CH2:31]1[CH2:32][O:33][CH2:34][CH2:35][N:30]1[C:13]([c:14]1[cH:29][cH:28][c:17]([cH:16][cH:15]1)-[c:18]1[n:27][cH:26][c:25]2[n:24][cH:23][c:21](-[c:6]3[cH:10][cH:11][c:3]([cH:4][cH:5]3)[C:2]#[N:1])[n:20]2[cH:19]1)=[O:12],"",4659,water/aromatics,train,Cc1ccccc1.O,O=C([O-])[O-].[K+].[K+]
O=Cc1ccc(B(O)O)o1.O=[N+]([O-])c1ccc(Oc2ccnc3cc(I)sc23)c(F)c1>>O=Cc1ccc(-c2cc3nccc(Oc4ccc([N+](=O)[O-])cc4F)c3s2)o1,other,carbonate,20,84.1,[OH:8][B:7]([OH:9])[c:6]1[o:10][c:3]([cH:4][cH:5]1)[CH:2]=[O:1].[n:22]1[c:23]2[cH:24][c:25]([I:26])[s:27][c:28]2[c:19]([cH:20][cH:21]1)[O:18][c:17]1[c:29]([cH:31][c:14]([cH:15][cH:16]1)[N+:12]([O-:13])=[O:11])[F:30]>>[n:22]1[c:23]2[c:28]([c:19]([cH:20][cH:21]1)[O:18][c:17]1[c:29]([cH:31][c:14]([cH:15][cH:16]1)[N+:12]([O-:13])=[O:11])[F:30])[s:27][c:25](-[c:6]1[cH:5][cH:4][c:3]([o:10]1)[CH:2]=[O:1])[cH:24]2,"",1957,other,train,CCO.O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
CNC(=O)c1c(B(O)O)oc2cc(N)c(Br)cc12.Fc1ccc(I)c(F)c1>>CNC(=O)c1c(-c2ccc(F)cc2F)oc2cc(N)c(Br)cc12,polar,other,20,70.25,[F:19][c:20]1[cH:21][cH:22][c:23]([I:24])[c:25]([cH:27]1)[F:26].[OH:8][B:7]([OH:9])[c:6]1[o:10][c:11]2[cH:12][c:13]([c:15]([cH:17][c:18]2[c:5]1[C:3](=[O:4])[NH:2][CH3:1])[Br:16])[NH2:14]>>[NH2:14][c:13]1[c:15]([cH:17][c:18]2[c:11]([cH:12]1)[o:10][c:6](-[c:23]1[c:25]([cH:27][c:20]([F:19])[cH:21][cH:22]1)[F:26])[c:5]2[C:3]([NH:2][CH3:1])=[O:4])[Br:16],"",3210,amides,train,CN(C)C=O,No Base
NC(=O)c1cc(B(O)O)ccc1F.O=C(Cc1c[nH]c2ccc(F)cc12)N[C@@H](Cc1cc(F)cc(F)c1)c1ncccc1Br>>NC(=O)c1cc(-c2cccnc2[C@H](Cc2cc(F)cc(F)c2)NC(=O)Cc2c[nH]c3ccc(F)cc23)ccc1F,ethers,carbonate,20,66.4,[OH:8][B:7]([OH:9])[c:6]1[cH:5][c:4]([C:2](=[O:3])[NH2:1])[c:12]([F:13])[cH:11][cH:10]1.[c:32]1([cH:31][c:30]([cH:37][c:35]([F:36])[cH:34]1)[CH2:29][C@H:28]([NH:27][C:15](=[O:14])[CH2:16][c:17]1[c:26]2[cH:25][c:23]([F:24])[cH:22][cH:21][c:20]2[nH:19][cH:18]1)[c:38]1[c:43]([Br:44])[cH:42][cH:41][cH:40][n:39]1)[F:33]>>[cH:31]1[c:32]([F:33])[cH:34][c:35]([cH:37][c:30]1[CH2:29][C@H:28]([NH:27][C:15](=[O:14])[CH2:16][c:17]1[c:26]2[cH:25][c:23]([F:24])[cH:22][cH:21][c:20]2[nH:19][cH:18]1)[c:38]1[c:43](-[c:6]2[cH:5][c:4]([C:2]([NH2:1])=[O:3])[c:12]([F:13])[cH:11][cH:10]2)[cH:42][cH:41][cH:40][n:39]1)[F:36],"",4584,ethers,train,COCCOC,O=C([O-])[O-].[K+].[K+]
OB(O)c1cccnc1OCc1ccccc1.CCOC(=O)[C@H]1CCC(=O)N1Cc1cc(OC)c(C(C)(C)C)cc1Br>>CCOC(=O)[C@H]1CCC(=O)N1Cc1cc(OC)c(C(C)(C)C)cc1-c1cccnc1OCc1ccccc1,other,carbonate,20,79.65,[CH3:37][C:36]([CH3:38])([CH3:39])[c:35]1[cH:40][c:41]([c:30]([CH2:29][N:28]2[C:26]([CH2:25][CH2:24][C@@H:23]2[C:21]([O:20][CH2:19][CH3:18])=[O:22])=[O:27])[cH:31][c:32]1[O:33][CH3:34])[Br:42].[cH:13]1[cH:14][cH:15][cH:16][cH:17][c:12]1[CH2:11][O:10][c:9]1[c:4]([cH:5][cH:6][cH:7][n:8]1)[B:2]([OH:1])[OH:3]>>[CH3:37][C:36]([CH3:38])([CH3:39])[c:35]1[c:32]([O:33][CH3:34])[cH:31][c:30]([c:41](-[c:4]2[c:9]([O:10][CH2:11][c:12]3[cH:17][cH:16][cH:15][cH:14][cH:13]3)[n:8][cH:7][cH:6][cH:5]2)[cH:40]1)[CH2:29][N:28]1[C@@H:23]([C:21]([O:20][CH2:19][CH3:18])=[O:22])[CH2:24][CH2:25][C:26]1=[O:27],"",1734,other,train,CO.ClCCl,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1.O=C(O)c1cccc2nc(Br)sc12>>O=C(O)c1cccc2nc(-c3ccccc3)sc12,water/ethers,carbonate,20,74.15,[cH:14]1[cH:15][cH:16][c:17]2[c:22]([s:21][c:19]([n:18]2)[Br:20])[c:13]1[C:11](=[O:10])[OH:12].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][cH:7]1)-[c:19]1[n:18][c:17]2[cH:16][cH:15][cH:14][c:13]([C:11]([OH:12])=[O:10])[c:22]2[s:21]1,"",550,water/ethers,train,O.COCCOC,O=C([O-])O.[Na+]
CCCCNc1ccc2ncc(B(O)O)n2n1.NCc1ccc(Br)cn1>>CCCCNc1ccc2ncc(-c3ccc(CN)nc3)n2n1,polar,carbonate,20,38.8,[OH:14][B:13]([OH:15])[c:12]1[n:16]2[n:17][c:6]([cH:7][cH:8][c:9]2[n:10][cH:11]1)[NH:5][CH2:4][CH2:3][CH2:2][CH3:1].[c:23]1([cH:25][n:26][c:20]([CH2:19][NH2:18])[cH:21][cH:22]1)[Br:24]>>[CH2:4]([NH:5][c:6]1[n:17][n:16]2[c:12]([cH:11][n:10][c:9]2[cH:8][cH:7]1)-[c:23]1[cH:25][n:26][c:20]([CH2:19][NH2:18])[cH:21][cH:22]1)[CH2:3][CH2:2][CH3:1],"",2811,water/lowbp,train,O.CC#N,O=C([O-])[O-].[K+].[K+]
OB(O)c1cccnc1.COc1ccc(CNc2ncnc3cc(I)sc23)cc1OC>>COc1ccc(CNc2ncnc3cc(-c4cccnc4)sc23)cc1OC,other,carbonate,20,87.95,[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1.[c:24]1([I:25])[cH:23][c:22]2[c:27]([s:26]1)[c:18]([n:19][cH:20][n:21]2)[NH:17][CH2:16][c:15]1[cH:28][c:29]([c:12]([cH:13][cH:14]1)[O:11][CH3:10])[O:30][CH3:31]>>[CH3:10][O:11][c:12]1[c:29]([cH:28][c:15]([CH2:16][NH:17][c:18]2[n:19][cH:20][n:21][c:22]3[cH:23][c:24]([s:26][c:27]23)-[c:4]2[cH:5][cH:6][cH:7][n:8][cH:9]2)[cH:14][cH:13]1)[O:30][CH3:31],"",3682,other,train,CN(C)C=O.N#Cc1ccccc1.CCOC(C)=O,O=C([O-])[O-].[K+].[K+]
OB(O)c1cccnc1.O=C1Cc2ccc(Br)cc2N1>>O=C1Cc2ccc(-c3cccnc3)cc2N1,other,carbonate,20,42.0,[NH:20]1[c:19]2[cH:18][c:16]([Br:17])[cH:15][cH:14][c:13]2[CH2:12][C:11]1=[O:10].[OH:1][B:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1>>[NH:20]1[c:19]2[cH:18][c:16]([cH:15][cH:14][c:13]2[CH2:12][C:11]1=[O:10])-[c:4]1[cH:5][cH:6][cH:7][n:8][cH:9]1,"",264,other,train,CCO.Cc1ccccc1.CCOC(C)=O,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1ccccc1.COCCn1c(-c2ccc(C(C)C)cc2)nc2c(Br)c(I)cc(OC)c21>>COCCn1c(-c2ccc(C(C)C)cc2)nc2c(Br)c(-c3ccccc3)cc(OC)c21,alcoArom,carbonate,20,29.5,[CH3:21][CH:20]([CH3:22])[c:19]1[cH:18][cH:17][c:16]([cH:24][cH:23]1)-[c:15]1[n:14]([c:35]2[c:32]([cH:31][c:29]([c:27]([c:26]2[n:25]1)[Br:28])[I:30])[O:33][CH3:34])[CH2:13][CH2:12][O:11][CH3:10].[cH:5]1[cH:6][cH:7][cH:8][cH:9][c:4]1[B:2]([OH:1])[OH:3]>>[cH:6]1[cH:5][c:4]([cH:9][cH:8][cH:7]1)-[c:29]1[cH:31][c:32]([c:35]2[c:26]([n:25][c:15](-[c:16]3[cH:24][cH:23][c:19]([cH:18][cH:17]3)[CH:20]([CH3:21])[CH3:22])[n:14]2[CH2:13][CH2:12][O:11][CH3:10])[c:27]1[Br:28])[O:33][CH3:34],"",1408,water/aromatics,train,Cc1ccccc1.O,O=C([O-])[O-].[Na+].[Na+]
COc1ccc2cc(B(O)O)ccc2c1.O=C(O)c1cc(Br)ccn1>>COc1ccc2cc(-c3ccnc(C(=O)O)c3)ccc2c1,other,carbonate,20,61.75,[Br:22][c:21]1[cH:20][c:19]([n:25][cH:24][cH:23]1)[C:17](=[O:16])[OH:18].[OH:10][B:9]([OH:11])[c:8]1[cH:7][c:6]2[c:14]([cH:13][cH:12]1)[cH:15][c:3]([O:2][CH3:1])[cH:4][cH:5]2>>[c:19]1([cH:20][c:21]([cH:23][cH:24][n:25]1)-[c:8]1[cH:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:15][c:14]2[cH:13][cH:12]1)[C:17]([OH:18])=[O:16],"",4107,other,train,O.CCOC(C)=O.COCCOC,O=C([O-])[O-].[Na+].[Na+]
O=Cc1ccc(B(O)O)cc1.Cc1nnc(Br)s1>>Cc1nnc(-c2ccc(C=O)cc2)s1,other,carbonate,20,50.9,[cH:4]1[cH:5][c:6]([cH:10][cH:11][c:3]1[CH:2]=[O:1])[B:7]([OH:8])[OH:9].[n:15]1[c:16]([s:18][c:13]([n:14]1)[CH3:12])[Br:17]>>[cH:5]1[cH:4][c:3]([cH:11][cH:10][c:6]1-[c:16]1[s:18][c:13]([CH3:12])[n:14][n:15]1)[CH:2]=[O:1],"",1910,other,train,O.CCOC(C)=O.C1COCCO1,O=C([O-])[O-].[Na+].[Na+]
COc1ccc(COc2ccc(B(O)O)cc2)cc1.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(OCc3ccc(OC)cc3)cc2)c1N1CCC(C)(C)CC1,polar,carbonate,20,64.05,[CH3:28][C:27]([CH3:29])([CH3:30])[O:26][C@@H:25]([c:31]1[c:39]([N:40]2[CH2:41][CH2:42][C:43]([CH3:44])([CH3:45])[CH2:46][CH2:47]2)[c:37]([Br:38])[c:35]([n:34][c:32]1[CH3:33])[CH3:36])[C:23]([O:22][CH2:21][CH3:20])=[O:24].[cH:11]1[cH:10][c:9]([cH:17][cH:16][c:12]1[B:13]([OH:14])[OH:15])[O:8][CH2:7][c:6]1[cH:18][cH:19][c:3]([cH:4][cH:5]1)[O:2][CH3:1]>>[CH3:28][C:27]([CH3:29])([CH3:30])[O:26][C@H:25]([C:23]([O:22][CH2:21][CH3:20])=[O:24])[c:31]1[c:39]([c:37](-[c:12]2[cH:16][cH:17][c:9]([cH:10][cH:11]2)[O:8][CH2:7][c:6]2[cH:18][cH:19][c:3]([cH:4][cH:5]2)[O:2][CH3:1])[c:35]([n:34][c:32]1[CH3:33])[CH3:36])[N:40]1[CH2:41][CH2:42][C:43]([CH2:46][CH2:47]1)([CH3:44])[CH3:45],"",3108,amides,train,CN(C)C=O,O=C([O-])[O-].[Na+].[Na+]
COc1ncc(B(O)O)cn1.Nc1cccc(Br)c1>>COc1ncc(-c2cccc(N)c2)cn1,ethers,carbonate,20,83.0,[OH:8][B:7]([OH:9])[c:6]1[cH:10][n:11][c:3]([n:4][cH:5]1)[O:2][CH3:1].[cH:14]1[c:13]([cH:19][c:17]([cH:16][cH:15]1)[Br:18])[NH2:12]>>[n:4]1[cH:5][c:6]([cH:10][n:11][c:3]1[O:2][CH3:1])-[c:17]1[cH:16][cH:15][cH:14][c:13]([NH2:12])[cH:19]1,"",2301,ethers,train,COCCOC,O=C([O-])[O-].[Na+].[Na+]
OB(O)c1cc(Cl)ccc1F.NC(=O)C(Nc1cncc(Br)c1)c1ccccc1Cl>>NC(=O)C(Nc1cncc(-c2cc(Cl)ccc2F)c1)c1ccccc1Cl,water/ethers,carbonate,20,15.4,[OH:1][B:2]([OH:3])[c:4]1[cH:5][c:6]([cH:8][cH:9][c:10]1[F:11])[Cl:7].[c:21]1([cH:23][c:17]([NH:16][CH:15]([c:24]2[c:29]([cH:28][cH:27][cH:26][cH:25]2)[Cl:30])[C:13]([NH2:12])=[O:14])[cH:18][n:19][cH:20]1)[Br:22]>>[cH:5]1[c:6]([cH:8][cH:9][c:10]([F:11])[c:4]1-[c:21]1[cH:20][n:19][cH:18][c:17]([NH:16][CH:15]([c:24]2[c:29]([cH:28][cH:27][cH:26][cH:25]2)[Cl:30])[C:13]([NH2:12])=[O:14])[cH:23]1)[Cl:7],"",4755,water/ethers,train,O.COCCOC,O=C([O-])[O-].[K+].[K+]
